timestamp,raw_green,filtered_signal,bpm_fft,bpm_peaks,confidence
1772578212.179876,110.67,,,,
1772578212.219452,110.91,,,,
1772578212.2931688,111.14,,,,
1772578212.363144,111.69,,,,
1772578212.459636,111.49,,,,
1772578212.555189,111.17,,,,
1772578212.6088588,113.61,,,,
1772578212.6648169,112.67,,,,
1772578212.7319229,112.0,,,,
1772578212.778338,112.19,,,,
1772578212.8353212,108.57,-0.12,,,LOW
1772578212.880125,110.16,-0.1,,,HIGH
1772578212.940971,109.86,-0.06,,,HIGH
1772578212.9882739,110.36,-0.02,,,HIGH
1772578213.073298,110.61,0.03,59.2,89.4,HIGH
1772578213.1656268,110.53,0.05,59.0,89.7,HIGH
1772578213.220098,111.93,0.05,58.8,90.0,HIGH
1772578213.278825,110.02,0.03,58.6,90.0,HIGH
1772578213.360055,110.34,-0.0,58.4,90.0,HIGH
1772578213.429588,108.64,-0.05,58.2,90.0,HIGH
1772578213.487982,110.91,-0.1,57.9,90.0,HIGH
1772578213.5894248,111.62,-0.14,57.5,90.0,HIGH
1772578213.676658,112.67,-0.16,57.5,90.0,MEDIUM
1772578213.739273,110.49,-0.19,57.1,90.0,MEDIUM
1772578213.781882,112.92,-0.19,57.1,90.0,MEDIUM
1772578213.843626,111.75,-0.2,57.1,90.0,MEDIUM
1772578213.875828,111.14,-0.19,57.1,90.0,MEDIUM
1772578213.9432828,110.26,-0.16,60.9,90.0,MEDIUM
1772578213.9709609,109.64,-0.1,64.5,90.3,MEDIUM
1772578214.037219,112.37,-0.03,64.5,90.9,MEDIUM
1772578214.067758,111.56,0.01,64.5,91.1,MEDIUM
1772578214.1017,110.08,0.03,64.5,91.1,MEDIUM
1772578214.137773,110.61,0.02,64.1,91.1,MEDIUM
1772578214.165866,111.23,-0.01,64.1,91.1,HIGH
1772578214.19882,109.57,-0.03,63.7,91.1,HIGH
1772578214.232796,110.05,-0.04,63.4,91.1,HIGH
1772578214.265832,109.19,-0.04,63.0,91.1,HIGH
1772578214.299069,110.51,-0.04,62.6,91.1,HIGH
1772578214.33649,110.5,-0.05,62.2,91.1,HIGH
1772578214.366251,109.61,-0.08,61.9,91.1,HIGH
1772578214.403471,110.83,-0.12,61.5,91.1,HIGH
1772578214.43441,109.29,-0.16,61.2,91.1,HIGH
1772578214.4674299,110.89,-0.18,60.9,91.1,HIGH
1772578214.5017018,108.59,-0.18,60.5,91.1,HIGH
1772578214.536733,109.06,-0.15,60.1,91.1,HIGH
1772578214.5682292,105.68,-0.12,59.9,91.1,HIGH
1772578214.600564,109.31,-0.1,59.5,91.6,HIGH
1772578214.635523,111.13,-0.08,59.1,92.3,HIGH
1772578214.668519,111.34,-0.06,58.9,92.8,HIGH
1772578214.701685,112.43,-0.06,58.5,92.8,HIGH
1772578214.73755,110.66,-0.07,58.2,93.4,HIGH
1772578214.768482,111.2,-0.08,58.0,93.4,HIGH
1772578214.800983,110.05,-0.09,57.6,93.4,HIGH
1772578214.835136,111.25,-0.1,57.2,93.9,HIGH
1772578214.8683908,111.55,-0.1,57.0,94.2,HIGH
1772578214.902634,109.6,-0.08,56.6,94.2,HIGH
1772578214.937053,109.22,-0.06,56.4,95.7,HIGH
1772578214.966354,108.22,-0.03,56.1,97.0,HIGH
1772578215.002375,109.89,-0.01,56.1,97.0,MEDIUM
1772578215.036354,108.83,0.02,56.1,97.3,MEDIUM
1772578215.067714,110.07,0.05,56.1,97.3,MEDIUM
1772578215.101846,110.64,0.09,56.1,97.3,MEDIUM
1772578215.137581,111.16,0.1,59.2,97.3,MEDIUM
1772578215.167189,110.55,0.08,62.2,97.3,MEDIUM
1772578215.200861,110.27,0.02,62.2,97.3,MEDIUM
1772578215.235371,110.6,-0.07,62.2,97.3,MEDIUM
1772578215.2673259,111.29,-0.17,62.2,97.3,MEDIUM
1772578215.301748,111.45,-0.25,62.2,97.3,HIGH
